books
26
21
22
13
26
16
20
30
34
21
28
24
21
28
33
29
28
24
25
26
25
22
22
27
25
22
25
19
25
23
18
20
18
15
19
23
19
29
12
20
16
25
16
15
22
20
35
60
0
0
23
23
22
17
14
22
17
25
25
14
21
21
23
13
8
13
15
18
26
25
21
23
17
28
17
21
21
22
18
29
33
40
32
35
23
28
10
6
0
11
19
18
26
16
21
22
13
0
19
26
16
21
26
19
18
46
39
27
15
5
0
0
0
0
0
0
0
0
0
24
19
20
20
57
39
21
24
17
18
25
46
28
20
31
8
13
18
0
0
5
0
6
22
38
22
20
29
45
12
5
18
26
28
27
25
